Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
"139,034,619,493,222.00 ",CUNY Citizenship Now,CUNY Citizenship Now!,≤100,1
"2,029,108,860,704,030.00 ",Thomas Jefferson Institute,THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY INC,≤100,1
"557,255,760,971,651.00 ",1Hood Media,1Hood Media,≤100,2
"588,715,077,818,666.00 ","Clean Water, Land and Coast","Clean Water, Land and Coast",≤100,8
"101,761,902,238,469.00 ",Edxa Group Life & Health LLC,These ads ran without a disclaimer,≤100,1
"468,533,133,243,616.00 ",Nevada Insurance Enrollment,Nevada Insurance Enrollment Marketplace,≤100,4
"106,740,862,043,268.00 ",Nevada Voices PAC,Nevada Voices PAC,≤100,1
"102,245,475,209,438.00 ",Green New Deal Network,Green New Deal Network,≤100,3
"107,397,558,434,606.00 ",34N22,"34N22, INC.",≤100,2
"757,754,000,983,566.00 ",New Haven Republicans,New Haven Republican Town Committee,≤100,2
"164,382,713,595,601.00 ",League of Women Voters of Maryland,LEAGUE OF WOMEN VOTERS OF MARYLAND INC,≤100,2
"43,853,729,859.00 ",Campaigns & Elections,Political World Communications,≤100,5
"100,258,159,239,790.00 ",Attorney Tametrice E. Hodges for Hinds County Chancery Court Judge,Tametrice Hodges,≤100,5
"108,367,385,097,287.00 ",B.D. Knowles,B.D. Knowles,≤100,1
"7,219,151,423.00 ",The Fund for American Studies (TFAS),FUND FOR AMERICAN STUDIES,≤100,6
"68,914,301,188.00 ",Midtown Greenway Coalition,MIDTOWN GREENWAY COALITION,≤100,1
"101,401,528,499,337.00 ","Commissioner Kionne McGhee, District 9",Kionne L. McGhee,≤100,3
"162,069,790,604.00 ",AARP Arizona,AARP,≤100,2
"316,848,531,676,188.00 ",Alabama Political Reporter,Alabama Political Reporter,≤100,1
"29,423,827,874.00 ",Proclaiming Justice to the Nations,PROCLAIMING JUSTICE TO THE NATIONS INC,≤100,32
"113,105,891,613,524.00 ",Chris Hansen for Denver Mayor,Chris Hansen for Denver Mayor,≤100,2
"104,431,438,839,988.00 ",DFW Area Young Fun Conservatives & Libertarians,Patricia Ann Taylor,≤100,6
"12,350,348,061.00 ",University of Minnesota School of Public Health,University of Minnesota School of Public Health,≤100,1
"109,381,388,537,963.00 ",South Dakota Searchlight,States Newsroom,≤100,4
"101,103,254,533.00 ",SOS International,SOS International,≤100,25
"710,460,605,705,480.00 ",Dugit Outreach Center,Dugit Messianic Outreach Center,≤100,6
"100,866,752,814,666.00 ","Bold, Bright, And Brave","Bold, Bright, & Brave",≤100,1
"150,322,194,563.00 ",PASA Primates: Pan African Sanctuary Alliance,PAN AFRICAN SANCTUARIES ALLIANCE,≤100,9
"103,783,875,742,883.00 ",Lee Ann Self Turner,Elect Lee Ann Turner,≤100,1
"103,331,191,362,482.00 ",Oak Run Solar Project,Oak Run Solar Project,≤100,2
"55,594,396,641.00 ",AARP Texas,AARP,≤100,1
"342,013,181,836.00 ",Americans for Prosperity - Virginia,AMERICANS FOR PROSPERITY,≤100,1
"108,020,636,846.00 ",Policy Matters Ohio,POLICY MATTERS OHIO,≤100,6
"113,675,518,649,250.00 ",Post Bulletin,Forum Communications Company,≤100,3
"28,452,246,857.00 ",InForum,Forum Communications,≤100,3
"144,850,842,237,429.00 ",Independentvoting.org,Independent Voting (IndependentVoting.org),≤100,2
"243,685,455,689,811.00 ",PoliticIt,John David Johnson,≤100,1
"114,517,875,225,866.00 ",The Other 98%,OTHER 98 PERCENT ACTION,≤100,14
"915,656,035,153,394.00 ",Oceanites,OCEANITES INC,≤100,7
"101,541,668,799,519.00 ",Huffines Liberty Foundation,Huffines Liberty Foundation,≤100,1
"727,280,547,367,245.00 ",Congressman French Hill,Office of Congressman French Hill,≤100,2
"101,564,054,951,838.00 ",We The Forest,We The Forest,≤100,14
"338,081,266,150.00 ",HealthPartners,HealthPartners,≤100,4
"117,507,751,891.00 ",United Poultry Concerns,"UNITED POULTRY CONCERNS, INC",≤100,2
"311,575,728,888,244.00 ",Building Markets,BUILDING MARKETS LTD.,≤100,2
"304,492,001,817.00 ",Emma's Revolution,Sandra Elaine Opatow,≤100,1
"287,754,774,569,171.00 ",Americans for Prosperity-Montana,AMERICANS FOR PROSPERITY,≤100,16
"109,619,680,720,932.00 ",USJoblink,USJoblink,≤100,2
"138,492,335,404.00 ",Scott Walker,FORWARD USA FEDERAL POLITICAL ACTION COMMITTEE,≤100,2
"17,043,549,797.00 ",MIT Technology Review,"TECHNOLOGY REVIEW, INC.",≤100,4
"125,812,107,572,251.00 ",Conrad Zbikowski,Conrad for Ward 3,≤100,6
"81,363,295,697.00 ",Detroit Regional Chamber,DETROIT REGIONAL CHAMBER,≤100,1
"193,166,293,135.00 ",Penguin Random House Audio,These ads ran without a disclaimer,≤100,2
"103,710,902,444,753.00 ",Elect Brian Kennedy for District 1,Brian Kennedy Campaign,≤100,2
"299,816,736,768,175.00 ",Waukesha County Democratic Party,Waukesha County Democratic Party,≤100,1
"83,960,796,709.00 ",Institute for Southern Studies,INSTITUTE FOR SOUTHERN STUDIES INC,≤100,2
"1,493,728,830,847,900.00 ",Chris Jensen for Noblesville,Jensen for Noblesville,≤100,4
"115,779,641,121,757.00 ",Brad Wilson for Islip,Friends of Brad Wilson,≤100,1
"17,548,474,116.00 ",Reason Magazine,"REASON FOUNDATION, THE",≤100,3
"146,305,447,561,533.00 ",Paid For By,Red Rocket Media,≤100,11
"184,291,844,938,361.00 ",Think Blue San Diego,Think Blue San Diego,≤100,1
"280,525,378,650,885.00 ",Steve Toth,Steve Toth Campaign,≤100,1
"84,112,077,638.00 ",Greater Good Charities,These ads ran without a disclaimer,≤100,1
"154,056,958,393.00 ",Maine Coalition Against Sexual Assault,MAINE COALITION AGAINST SEXUAL ASSAULT,≤100,5
"115,656,384,466,879.00 ",Auburn Harvest Wind,Auburn Harvest Wind,≤100,2
"165,137,306,859,357.00 ","Gingras, Thomsen & Wachs Lawyers","Gingras, Thomsen & Wachs, LLP",≤100,2
"168,993,021,398.00 ",Life Network,LIFE NETWORK,≤100,4
"24,425,672,689.00 ",Museum of the City of New York,Museum of the City of New York,≤100,1
"100,279,327,983,605.00 ",Jefferson County Georgia Republican Party,Brandon Cole May,≤100,2
"805,324,772,817,194.00 ",Evanston Arts Council,Toby Leonard Sachs,≤100,1
"100,327,808,877,842.00 ",5Gfor12GHz Coalition,5G for 12 GHz Coalition,≤100,25
"1,731,458,707,172,800.00 ",Charters for Change,Elevate Chicago,≤100,1
"238,983,236,163,269.00 ",Marko Kepi,Kepi for City Council,≤100,1
"174,419,920,769.00 ",Clean AIRE NC,CLEAN AIR CAROLINA,≤100,1
"236,829,849,700,741.00 ",Al-Monitor,AL-MONITOR,≤100,1
"516,715,745,020,290.00 ",High Plains Fair Housing Center,HIGH PLAINS FAIR HOUSING CTR.,≤100,2
"107,757,295,911,734.00 ",Civic Nebraska,Civic Nebraska,≤100,2
"151,848,324,871,275.00 ",RI State Representative Teresa Tanzi,Committee to Elect Teresa Tanzi,≤100,2
"110,748,051,487,386.00 ",Oregonians for Choice at the Pump,Northwest Grocery Association,≤100,1
"107,934,128,605,594.00 ",North Carolina Coalition for Dog Protection,PEOPLE FOR ETHICAL TREATMENT OF ANIMALS INC,≤100,1
"182,950,308,416,970.00 ",The Missouri Bar,The Missouri Bar,≤100,1
"152,236,424,848,913.00 ",Hawai‘i Appleseed Center for Law and Economic Justice,HAWAII APPLESEED CENTER FOR LAW AND ECONOMIC JUSTICE,≤100,1
"1,581,819,558,516,140.00 ",Nunn Bush,Weyco Group,≤100,2
"107,326,878,275,017.00 ",National Pretrial,National Pretrial,≤100,5
"109,475,211,795,252.00 ",Freedom From The Press,Michael Scott Hughes,≤100,1
"1,195,497,510,633,230.00 ",Maria for Philly,Friends of Maria,≤100,1
"180,212,755,483,311.00 ",Black Lives Matter,Black Lives Matter Global Network Foundation,≤100,2
"103,535,788,939,931.00 ",The Border Chronicle,The Border Chronicle,≤100,2
"20,368,731,524.00 ",Central Illinois Foodbank,"CENTRAL ILLINOIS FOODBANK, INC",≤100,1
"234,628,203,317,767.00 ",Made for Freedom,Made for Freedom,≤100,3
"491,750,841,251,088.00 ",Filtrol,Wex Companies,≤100,3
"104,750,679,005,557.00 ",Patriots Saving America,USA Features Media LLC,≤100,1
"254,943,996,005.00 ",Catholic Answers,"CATHOLIC ANSWERS, INC.",≤100,5
"102,786,151,892,694.00 ",Elect LaDon Linde,Committee to Elect LaDon Linde,≤100,1
"109,366,181,861,530.00 ",President Trump is My Wingman,Jennifer Ann Robertson,≤100,1
"102,286,035,642,350.00 ",Patriots for President Donald Trump,USA Features Media LLC,≤100,1
"465,543,346,856,281.00 ",Citizens Water Advocacy Group,Citizens Water Advocacy Group,≤100,2
"100,913,694,925,880.00 ","Akalan Law Firm, PLLC","Akalan Law Firm, PLLC",≤100,2
"258,186,881,053,838.00 ",Dave Yarnes,Dave Yarnes,≤100,2
"1,832,744,013,698,330.00 ",Mahogany Mommies,Mahogany Mommies,≤100,2
"268,672,113,155,656.00 ",The Expectations Project,THE EXPECTATIONS PROJECT INC,≤100,1
"1,444,820,465,547,220.00 ",Rank the Vote,Rank the Vote,≤100,22
"100,981,815,983,867.00 ",Power For The People,POWER FOR THE PEOPLE LLC,≤100,1
"282,765,295,135,322.00 ",The Pray in Jesus Name Project,"GJK, Inc. d/b/a The Pray In Jesus Name Project",≤100,11
"561,970,593,860,027.00 ",Emil Guillermo Media,Emil Amok Guillermo,≤100,2
"245,064,808,869,530.00 ",Bay Area Community Health Advisory Council,COMMUNITY INITIATIVES,≤100,2
"101,791,315,693.00 ",Destiny Rescue,"Destiny Rescue International, Inc.",≤100,7
"168,465,766,503,534.00 ","Scartelli Olszewski, P.C.",Scartelli Olszewski P.C.,≤100,2
"604,895,529,530,222.00 ","City of Victoria, Texas - Government",City of Victoria,≤100,2
"104,377,518,078,467.00 ",More Perfect Union,MORE PERFECT UNION FOUNDATION,≤100,4
"107,409,909,326,665.00 ",Stephen Wise Free Synagogue,"WISE, STEPHEN FREE SYNAGOGUE",≤100,1
"546,244,689,055,708.00 ",Beacon,MAINE PEOPLE'S ALLIANCE INC,≤100,2
"106,505,370,729,792.00 ",Proudly Served,Real Voices Media,≤100,6
"14,233,429,764.00 ",the Jane Goodall Institute,"The Jane Goodall Institute for Wildlife Research, Education and Conservation",≤100,2
"78,420,171,887.00 ",Sailors for the Sea,OCEANA INC,≤100,2
"211,575,795,534,483.00 ",Ohio Nature Conservancy,NATURE CONSERVANCY,≤100,3
"101,586,078,357,081.00 ",Peter Demos,Peter Demos,≤100,10
"488,270,467,889,488.00 ",Blake Miguez,Friends of Blake Miguez,≤100,7
"439,271,970,343.00 ",World Help,WORLD HELP,≤100,5
"37,442,103,053.00 ",ACLU of New Jersey,AMERICAN CIVIL LIBERTIES UNION OF NJ,≤100,2
"104,092,062,075,803.00 ",PBC Jolt,"Jolt Media, Inc.",≤100,1
"641,136,109,294,222.00 ",Georgia Life Alliance,Georgia Life Alliance Committee,≤100,1
"122,361,184,565,413.00 ",Paulding Putnam Electric Coop,Paulding Putnam Electric Cooperative,≤100,3
"117,046,548,337,381.00 ",WILDCOAST,These ads ran without a disclaimer,≤100,2
"840,366,749,387,857.00 ",Retired Public Employees Association,RETIRED PUBLIC EMPLOYEES ASSOCIATION INC,≤100,27
"100,774,739,424,494.00 ",American Legacy Advisors,Heartwork global,≤100,1
"100,898,072,435,766.00 ",Mississippi Senior Specialist,Daniel Gabriel Murrell,≤100,1
"165,858,562,140.00 ",Western Resource Advocates,WESTERN RESOURCE ADVOCATES,≤100,2
"147,074,598,789,837.00 ","Legal Aid Society of Palm Beach County, Inc.","LEGAL AID SOCIETY OF PALM BEACH COUNTY, INC",≤100,15
"148,731,991,811,588.00 ",Baird,Robert W. Baird & Co. Incorporated,≤100,1
"71,387,879,392.00 ","City of Mesa, Arizona Government",The City of Mesa,≤100,4
"59,393,805,320.00 ",Model D,Issue Media Group,≤100,2
"284,685,902,274,597.00 ",Rev. Desmond Wallace - School Board District 14,Desmond Wayde Wallace,≤100,2
"242,919,259,765,055.00 ",Rabbi Meir Soloveichik,TIKVAH FUND,≤100,8
"205,448,902,831,467.00 ",Idaho Family Policy Center,Idaho Family Policy Center,≤100,2
"150,464,834,999,897.00 ",Maryland Pesticide Education Network - MPEN,MARYLAND PESTICIDE EDUCATION,≤100,2
"118,165,897,750.00 ",Mother and Child Alliance,Mother and Child Alliance (MACA),≤100,1
"103,830,044,798,190.00 ",Gregorian Rant,Gregory Richard Schlueter,≤100,1
"84,795,578,045.00 ",Avivo,AVIVO,≤100,1
"564,944,890,224,398.00 ",Southworth PC - Attorneys For Federal Employees,Crisp,≤100,8
"207,033,659,336,173.00 ",Clean Elections,Citizens Clean Elections Commission,≤100,1
"544,052,145,765,432.00 ",Beacon Community Bank,Momentum Marketing,≤100,1
"112,406,526,796,832.00 ",Broad + Liberty,Broad and Liberty Inc,≤100,3
"107,722,268,674,706.00 ",Cathy Hull,Cathy Hull Originals,≤100,10
"48,049,744,053.00 ",Food Bank of Central & Eastern North Carolina,"FOOD BANK OF CENTRAL & EASTERN NORTH CAROLINA, INC.",≤100,2
"100,369,014,769,358.00 ",Delta Conveyance Design and Construction Authority,Delta Conveyance Design And Construction Authority,≤100,2
"160,851,544,577,718.00 ",Councilman Cedric Crear,Committee to Elect Cedric Crear,≤100,2
"111,651,807,692,763.00 ",Oregon Moms Union,Oregon Moms Union,≤100,1
"304,450,685,362.00 ",Community Shares of Wisconsin,Community Shares of Wisconsin,≤100,1
"115,436,651,834,465.00 ",Save Health Care in Washington,WASHINGTON ASSOCIATION FOR COMMUNITY HEALTH,≤100,6
"253,966,794,723,524.00 ",Orange County FL Tax Collector's Office - Scott Randolph,Orange County Tax Collector,≤100,4
"738,063,612,887,865.00 ",Alliance for Michigan Power,Alliance for Michigan Power,≤100,14
"102,399,639,298,692.00 ",Trail Blazer Rising,Trail Blazer Rising,≤100,2
"276,436,719,261.00 ",Riverkeeper,RIVERKEEPER INC,≤100,17
"807,604,399,259,676.00 ",Metropolitan St Louis Equal Housing and Opportunity Council,ST LOUIS METROPOLITAN EHOC,≤100,1
"144,688,399,499.00 ",La Prensa Latina Media,Bradley Duane Boutwell,≤100,4
"103,426,858,855,557.00 ",Eyes That Speak by Christy Bowe,Gilbert Lunsford Jr Eugene,≤100,1
"104,382,528,958,356.00 ",Jenna Caldwell,Pubvendo,≤100,5
"312,087,222,175,938.00 ",Southeast Texas Record,The Record,≤100,9
"116,548,851,749,761.00 ",United Way of Berks County,UNITED WAY OF BERKS COUNTY,≤100,2
"107,131,418,817,543.00 ",Roger Branson for State House,Roger Branson for State House,≤100,1
"101,537,205,288,919.00 ",Freedom Foundation of Texas,Freedom Foundation of Texas,≤100,1
"105,874,504,263,958.00 ",H-Rod Insurance Corp,Carlos Silvestre Higgins Rodriguez,≤100,4
"278,434,943,062,355.00 ",WellBeing International,"WellBeing International, Inc.",≤100,4
"105,692,311,896,010.00 ",Positive Money US,Positive Money US,≤100,1
"100,273,805,531,723.00 ",New Pennsylvania Project,New Pennsylvania Project,≤100,2
"186,104,615,328,289.00 ",Growing and Going,Kunal Kumar Chugh,≤100,6
"619,536,345,355,982.00 ",Bobbie Singh-Allen for Mayor,Bobbie Singh-Allen for Mayor 2020,≤100,1
"103,338,614,839,717.00 ",Peter S. Wenz,Peter S. Wenz,≤100,6
"269,937,067,004,602.00 ",Jerred Price for Memphis City Council Super Dist. 8,Jerred Price,≤100,1
"464,745,486,899,649.00 ",Ash Grove Healthcare Facility,These ads ran without a disclaimer,≤100,1
"1,640,382,132,865,600.00 ",J. Lee & Associates Law Group,Alfonso F Rodriguez,≤100,1
"195,564,470,605,699.00 ",Mayor Yxstian Gutierrez,Gutierrez for Supervisor 2022,≤100,1
"73,120,633,907.00 ","City of Blaine, Minnesota, Government","City of Blaine, Minnesota",≤100,1
"568,103,006,940,639.00 ",Law Office of Gary J. Kim,Law Offices of Gary J. Kim,≤100,1
"461,530,314,600,399.00 ",Common Sense American Politics,Common Sense American Politics,≤100,4
"37,461,287,798.00 ",Jesuit Refugee Service/USA,JESUIT REFUGEE SERVICE INC,≤100,2
"205,919,830,691.00 ",New Voices for Reproductive Justice,These ads ran without a disclaimer,≤100,1
"20,237,874,656.00 ",Institute for Policy Studies,Institute for Policy Studies,≤100,2
"104,488,918,412,763.00 ",Cabot Image Clear Ultrasound,Cabot Image Clear Ultrasound,≤100,2
"38,812,906,703.00 ",United Friends of the Children,United Friends of the Children,≤100,4
"330,617,944,306,531.00 ",Jerica Richardson,"Jerica for Cobb, Inc",≤100,4
"102,918,395,864,365.00 ",The Chicago Circular,Chicago Circular LLC,≤100,3
"108,731,490,859,583.00 ",America's Work Force Union Podcast,"Bortini Management Associates, Inc.",≤100,1
"108,534,951,966,788.00 ",Neil Alderman for Tyler County Judge,Oliver Neil Alderman,≤100,1
"168,997,603,171,090.00 ",Voices  for Children Advocacy Center,Voices for Children Advocacy Center,≤100,12
"148,726,395,812.00 ",Orange County Water District,ORANGE COUNTY WATER DISTRICT,≤100,1
"200,789,879,788.00 ",Advocacy Network for Children,Advocacy Network for Children,≤100,1
"107,089,205,304,926.00 ",Thoroughbred Solar,Thoroughbred Solar,≤100,1
"119,868,384,733,982.00 ",Consumers for Affordable Health Care,CONSUMERS FOR AFFORDABLE HEALTH CARE FOUNDATION,≤100,1
"1,027,702,813,921,240.00 ",EmbraceRace,EmbraceRace,≤100,2
"83,600,052,210.00 ",Citizens Count,Citizens Count,≤100,14
"7,757,414,599.00 ","Denver Climate Action, Sustainability and Resiliency","The Denver Office of Climate Action, Sustainability, and Resiliency",≤100,3
"398,757,490,729.00 ",The National Network to End Domestic Violence,"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.",≤100,1
"1,916,150,875,303,880.00 ",RCCD Faculty Association PAC,RCCD Faculty Association PAC,≤100,1
"5,878,048,748.00 ",GlobalGiving,"GLOBALGIVING FOUNDATION, INC.",≤100,7
"27,921,718,997.00 ",Harris County Democratic Party,Harris County Democratic Party,≤100,3
"100,710,759,119,069.00 ",Blue Planet Ecosystem,Blue Planet Ecosystem,≤100,11
"75,993,679,952.00 ",ACLU of Pennsylvania,ACLU of Pennsylvania,≤100,1
"167,436,749,970,543.00 ",Right to Life of Southwest Indiana,Right to Life of Southwest Indiana,≤100,2
"328,065,780,936,817.00 ",Forest Fire Facts,Strategy Solutions,≤100,43
"107,922,288,762,475.00 ",Nevada Fails Workers,Workers Comp Fails Nevadans,≤100,1
"110,126,414,918,329.00 ","Hall Keener, P.A.",Crisp,≤100,1
"605,037,386,536,651.00 ",Alianza for Progress,Alianza for Progress,≤100,5
"102,880,072,227,023.00 ",Proactivism,John Osthus,≤100,2
"144,691,292,263,214.00 ",ElderSource,"NORTHEAST FLORIDA AREA AGENCY ON AGING, INC.",≤100,2
"148,600,418,682,522.00 ",Trivia Crack,These ads ran without a disclaimer,≤100,2
"104,376,828,818,586.00 ",Daniela for Austin,Daniela for Austin District 3,≤100,3
"422,039,351,288,596.00 ",Essential Church,Tim Milner,≤100,2
"124,115,965,454.00 ",Cornerstone Action,Cornerstone Action,≤100,1
"231,193,970,334,417.00 ","Carlton County, MN - Government","CARLTON, COUNTY OF",≤100,1
"102,319,612,185,515.00 ",People Over Politics Louisiana,People Over Politics LA,≤100,1
"124,099,554,276,848.00 ",Fair Housing Center of Southeast & Mid Michigan,"FAIR HOUSING CENTER OF WASHTENAW COUNTY, INC",≤100,1
"1,066,028,990,105,770.00 ",Pacific Remote Islands Coalition,RESOURCES LEGACY FUND,≤100,1
"107,646,992,144,084.00 ",Vincenzo Odoguardi - MAIE,MARCO BALDOCCHI GROUP INC,≤100,1
"108,761,895,812,039.00 ",Montgomery College Television - MCTV,Montgomery College Television,≤100,2
"513,785,465,632,396.00 ",Airline Passengers for Justice,Airline Passengers for Justice,≤100,2
"303,061,950,155,375.00 ",John James,"JOHN JAMES FOR CONGRESS, INC.",≤100,4
"229,083,393,820,990.00 ",Richard Hudson,HUDSON FOR CONGRESS,≤100,4
"106,959,920,878,115.00 ",The Well Done Foundation,"WELL DONE FOUNDATION, INC.",≤100,1
"222,797,534,462,862.00 ",Peter Boghossian,National Progress Alliance,≤100,1
"615,867,588,540,441.00 ",Will Hurd,Will Hurd,≤100,1
"260,713,150,211.00 ",Protect Our Winters,PROTECT OUR WINTERS,≤100,4
"273,546,779,885,377.00 ",The Gallant Pelham,"delupton, LLC",≤100,9
"947,348,891,946,599.00 ",Mike Waltz,MICHAEL WALTZ FOR CONGRESS,≤100,6
"100,228,902,045,641.00 ",Project Clean Water,County of San Diego,≤100,1
"100,942,289,404,249.00 ",Make Waveland Amazing,Compadres con Micah Tinkler,≤100,2
"377,247,662,301,741.00 ",The Louisiana Record,The Record,≤100,5
"181,438,572,390.00 ",Sarasota County Democratic Party,Sarasota County Democratic Party,≤100,1
"877,481,359,045,751.00 ",Lets Green CA,ROMERO INSTITUTE,≤100,2
"2,099,448,153,445,990.00 ",Students for Life Action,Students for Life Action,≤100,1
"100,175,976,284.00 ",History Colorado,History Colorado,≤100,1
"467,551,213,294,628.00 ",Guy Reschenthaler,Guy For Congress Inc,≤100,5
"100,500,465,282,483.00 ",Breaking Battlegrounds,September Group LLC,≤100,23
"306,480,006,853,271.00 ",Political-Paige.com BLOG,Political-Paige.com,≤100,2
"115,938,563,481,475.00 ",Michigan Wine and Brew,Real Voices Media,≤100,6
"166,281,383,958,247.00 ",Nueces County Judge Barbara Canales,Barbara Canales Campaign,≤100,2
"279,674,488,861,341.00 ","Van Ackeren, P.S.",Cheryl Lynn Van Ackeren,≤100,2
"111,954,788,847,971.00 ",Charlotte-Mecklenburg Storm Water Services,Charlotte-Mecklenburg Storm Water Services,≤100,2
"100,533,268,438,946.00 ",Women with Voices,Real Voices Media,≤100,4
"1,525,472,414,388,470.00 ",Better Wyoming,Better Wyoming,≤100,1
"106,893,981,453,425.00 ",Future of Cities,FOC FUND MANAGER QOZB LLC,≤100,1
"273,223,673,607,541.00 ",Sandy Springs Together,Sandy Springs Together,≤100,2
"100,743,052,668,800.00 ",Rick Kuss for Kitsap County Sheriff,Committee to Elect Rick Kuss for Sheriff,≤100,1
"110,797,681,725,802.00 ",Jeff Zell for Sumter County School Board - Area 8,Jeffrey Edward Zell Ii,≤100,2
"1,095,348,410,492,780.00 ",Gila Institute for Technology - GIFT,Gila Institute For Technology,≤100,1
"112,291,768,804,277.00 ",Mississippi Department of Archives & History,Mississippi Department of Archives and History,≤100,2
"228,684,130,482,201.00 ",Delegate Michael J. Webert,Michael Webert For Delegate,≤100,6
"107,931,151,953,032.00 ",Kodie Kulp,Wesley Allen,≤100,3
"14,960,614,435.00 ",Ben Jealous,Gilbert Lunsford Jr Eugene,≤100,2
"421,661,111,195,530.00 ",Spaz,Anthony Parziale,≤100,1
"1,838,012,813,083,650.00 ",Congressman Vicente Gonzalez,Office of Congressman Vicente Gonzalez,≤100,1
"109,404,241,722,062.00 ",Clean Up MidAm,Clean Up MidAm Coalition,≤100,1
"105,155,545,186,714.00 ",Friends of Orono,Friends of Orono,≤100,6
"1,678,616,769,061,600.00 ",Southeastern Wind Coalition,Southeastern Wind Coalition,≤100,1
"878,935,975,829,857.00 ",Healthcare Supply Chain Association,Healthcare Supply Chain Association,≤100,3
"182,586,558,444,730.00 ",National Family Farm Coalition,NATIONAL FAMILY FARM COALITION,≤100,2
"1,450,419,611,843,800.00 ",Thatcher Coalition,Thatcher Coalition,≤100,3
"102,762,964,438,534.00 ",Prince Rav Yisrael For Sparta,Anayah Yisrael,≤100,7
"164,343,473,415.00 ","Veterans Benefits Administration (VBA), U.S. Department of Veterans Affairs",These ads ran without a disclaimer,≤100,1
"624,637,470,884,152.00 ",West Coast Convo,These ads ran without a disclaimer,≤100,2
"259,105,922,931.00 ",Fuzzy's Pizza Katy,Brugata Media,≤100,3
"113,469,840,314,962.00 ",SojoAction,SOJOURNERS,≤100,1
"105,105,988,010,422.00 ",Globoplay,These ads ran without a disclaimer,≤100,3
"106,728,460,996,506.00 ",United South Broadway Corporation,mim.fm,≤100,2
"261,951,940,219.00 ",Goldman Environmental Prize,Goldman Environmental Foundation,≤100,1
"121,455,837,877,844.00 ",A Child's Hope Adoption Services,A Child's Hope,≤100,2
"294,508,332,028.00 ",Lakota People's Law Project,ROMERO INSTITUTE,≤100,1
"376,421,181,998.00 ",Colorado River District,Colorado River Water Conservation District,≤100,1
"181,405,882,491,516.00 ","Ron Case, Mayor of Eden Prairie, Minnesota",Ron Case for Mayor,≤100,1
"16,072,035,449.00 ",Charter Oak Cultural Center,Jacques Charles Lamarre,≤100,4
"111,333,413,863,498.00 ",Freedom First Society,FREEDOM FIRST SOCIETY,≤100,2
"146,252,089,505.00 ",Chicago Alliance Against Sexual Exploitation,Illinois Network for Pretrial Justice,≤100,1
"1,432,766,956,987,950.00 ",iF International Forum Design,These ads ran without a disclaimer,≤100,1
"382,724,835,246,339.00 ","OKC Fraternal Order of Police, Lodge 123","Oklahoma City Fraternal Order of Police, Lodge 123",≤100,1
"59,876,524,199.00 ",The American Institute of Architects,These ads ran without a disclaimer,≤100,1
"150,559,895,031.00 ",Rapha International,"Rapha House International, Inc.",≤100,1
"533,667,200,028,514.00 ",ELKS Lodge #1313,These ads ran without a disclaimer,≤100,1
"192,771,954,102,960.00 ",Jordan Sekulow,American Center for Law and Justice,≤100,2
"2,198,759,473,674,860.00 ",Representative Jansen Owen,Jansen Tosh Owen,≤100,1
"1,844,798,745,753,870.00 ",PagoJusto: Abogados de Derechos Laborales,Law Office of Justin Zelikovitz PLLC,≤100,1
"109,951,025,170,694.00 ",Libra Press Books,Libra Press,≤100,5
"609,789,112,559,190.00 ",Destroying Liberalism 101,Simon Davis,≤100,4
"102,205,125,969,308.00 ",Alliance of Alabama Healthcare Consumers,Alliance of Alabama Healthcare Consumers,≤100,2
"148,377,185,185,320.00 ",May-Grant Obstetrics and Gynecology,May-Grant Obstetrics & Gynecology,≤100,8
"27,544,763,621.00 ",Prison Fellowship,Prison Fellowship,≤100,5
"106,673,648,309,468.00 ",Phil Crane for City Council,Crane Philip James,≤100,3
"200,151,640,011,191.00 ",Washington STEM,WA STEM,≤100,2
"107,331,765,228,336.00 ",Powering Iowa's Future,Powering Iowa's Future,≤100,2
"121,071,814,580,845.00 ",YWCA Lancaster,YWCA Lancaster,≤100,2
"102,254,715,563,026.00 ",Paula Avila-Guillen,Women's Equality Center,≤100,1
"307,930,162,724.00 ",California Faculty Association,California Faculty Association,≤100,1
"109,467,967,501,761.00 ",Westchester Firearms Safety,Westchester Firearms Safety,≤100,2
"118,135,062,791.00 ",Durham Rescue Mission,Durham Rescue Mission,≤100,2
"778,556,412,270,007.00 ","Debora Allen, BART Director",Debora Allen for BART Director,≤100,1
"107,192,055,276,617.00 ",Obsessed Gaming,These ads ran without a disclaimer,≤100,1
"61,661,304,927.00 ","City Government of Chandler, Arizona",City of Chandler,≤100,1
"795,162,290,631,372.00 ",Citrus Pregnancy Center,LIFE CHOICE CARE CENTER INC,≤100,5
"110,026,728,309,807.00 ",Strother for Virginia,Philip Strother,≤100,1
"174,421,976,239,406.00 ",TJP Strategies,TJP Strategies,≤100,1
"70,795,936,969.00 ",Children International,CHILDREN INTERNATIONAL,≤100,3
"129,278,807,814,364.00 ",Women of Welcome,Women of Welcome,≤100,1
"44,864,548,719.00 ",Cascade Policy Institute,Cascade Policy Institute,≤100,5
"102,362,435,427,686.00 ",OnlySky,Only Sky Media Inc.,≤100,1
"312,533,068,780,133.00 ",New Jersey Firefighters PFANJ,Professional Firefighters Association of New Jersey - "PFANJ",≤100,1
